word,level,transcription,russian
abla,A1,абла,"старшая сестра"
adres,A1,адрес,"адрес; обращение"
aile,A1,аиле,"семья"
ajanda,A1,ажанда,"(нет перевода)"
Akraba,A1,акраба,"относительный; релятивный"
akıl,A1,акыл,"мозг; головной мозг; ум"
Akıllı,A1,акыллы,"умный; понятливый; кто-то"
akşam,A1,акшам,"вечер; день; вчера вечером"
Alan,A1,алан,"площадь; край; поле"
alkol,A1,алкол,"спирт; алкоголь"
almak,A1,алмак,"брать, покупать"
Almanya,A1,алманйа,"Германия"
alt,A1,алт,"дно; низ; под"
alışveriş,A1,алышвериш,"купля; покупка; раздача"
alışveriş merkezi,A1,алышвериш меркези,"купля; покупка"
amca,A1,амджа,"дядя (брат отца)"
anadil,A1,анадил,"родная речь; родной язык; мать"
anahtar,A1,анахтар,"важнейший; ведущий; гаечный ключ"
anaokulu,A1,анаокулу,"детский садик; детский сад"
anlamak,A1,анламак,"понимать"
Anlaşmak,A1,анлашмак,"взаимный; обоюдный; -ать"
anma,A1,анма,"вербальный; словесный"
anne,A1,анне,"мама"
anneanne,A1,аннеанне,"бабушка; баба"
anneler günü,A1,аннелер гюню,"(нет перевода)"
araba,A1,араба,"машина"
aralık,A1,аралык,"декабрь; коридор; пассаж"
aramak,A1,арамак,"искать; пытаться найти; -ать"
Arka,A1,арка,"старый; задний; продолжение"
arkadaş,A1,аркадаш,"друг"
artı,A1,арты,"плюс; положительный; знак плюс"
asmak,A1,асмак,"-ать; -еть"
ateş,A1,атеш,"клёвый; огонь; жар"
atlamak,A1,атламак,"-ать; -еть"
atmak,A1,атмак,"бросок; покрывало; -ать"
avukat,A1,авукат,"адвокат; юрист; кто-то"
Avusturya,A1,авустурйа,"Австрия"
ay,A1,ай,"месяц, луна"
Aylin,A1,айлин,"(нет перевода)"
aynı,A1,айны,"одинаковый; тот же; не"
az,A1,аз,"мало"
aç,A1,ач,"голодный; алчущий; голод"
açmak,A1,ачмак,"открывать"
açık,A1,ачык,"яркий; светлый; прозрачный"
açık büfe,A1,ачык бюфе,"(нет перевода)"
ağabey,A1,аабей,"старший; староста"
ağaç,A1,аач,"дерево; древо; поберегись"
Ağrımak,A1,арымак,"боль; болеть"
ağustos,A1,аустос,"август; августейший"
ağız,A1,аыз,"рот; пасть; акцент"
Aşağı,A1,ашаы,"нижний; опускать; младший"
baba,A1,баба,"папа"
babaanne,A1,бабаанне,"бабушка; баба"
bahçe,A1,бахче,"сад"
bakmak,A1,бакмак,"-ать; -еть"
balayı,A1,балайы,"медовый месяц; свадебное путешествие"
bale,A1,бале,"балет"
balık,A1,балык,"рыба"
banka,A1,банка,"банк"
banyo yapmak,A1,банйо йапмак,"-ать; -еть"
bardak,A1,бардак,"стакан"
bavul,A1,бавул,"чемодан; хобот; багажник"
bay,A1,бай,"господин"
bayan,A1,байан,"госпожа"
bayram,A1,байрам,"айт; байрам; верующий"
bayılmak,A1,байылмак,"-ать; -еть"
başarılı,A1,башарылы,"успешный; благополучный"
başlamak,A1,башламак,"начинать; начать; начинаться"
bebek,A1,бебек,"младенец; ребёнок; девчонка"
beklemek,A1,беклемек,"жить; выносить; ожидать"
bekâr,A1,бекар,"бакалавр; холостой"
Ben,A1,бен,"я"
